Project,HashId,BugId,BugType,BugReportDate,FixDate,FixHashId,File
cinder,015555acb75ee4d9298915951d2bfaf0d19d2b02,1301854,Bug,1394502624,1396535798,1fdb38fd4b43c2685658c1a7aa6a56c92ac31585,cinder/tests/test_vmware_vmdk.py
cinder,015555acb75ee4d9298915951d2bfaf0d19d2b02,1332482,Bug,1394502624,1403273920,b07c1a759c8a0cdaaaaaf3e6f1ad7402bf631a44,cinder/tests/test_vmware_vmdk.py
cinder,0278a38153f9649aab1cc641bfabd8d5738d2d8c,1246228,Bug,1378717264,1383138656,a29a1d8802d2fde8d09bed08e0595b4c0f85cf7b,cinder/api/contrib/types_manage.py
cinder,027b78a214e1f7ab7bbda342a024cb13dae8944d,1250249,Bug,1357682995,1384230241,9834639454103ee2ba980628f0bc67ad0baa94ff,cinder/tests/test_hp3par.py
cinder,027b78a214e1f7ab7bbda342a024cb13dae8944d,1250249,Bug,1357682995,1384230241,9834639454103ee2ba980628f0bc67ad0baa94ff,cinder/volume/drivers/san/hp/hp_3par_common.py
cinder,027b78a214e1f7ab7bbda342a024cb13dae8944d,1269515,Bug,1357682995,1389825320,99379d6ec00b7bdfe5a625877d8e680f9240efcc,cinder/volume/drivers/san/hp/hp_3par_common.py
cinder,027b78a214e1f7ab7bbda342a024cb13dae8944d,1279478,Bug,1357682995,1392250568,9090f99986c5b2cf725814e6ab64fd2d2a829d3e,cinder/volume/drivers/san/hp/hp_3par_common.py
cinder,027b78a214e1f7ab7bbda342a024cb13dae8944d,1283233,Bug,1357682995,1393034207,e31b9e78374bcaeae573cce2915897ceb870ffc3,cinder/volume/drivers/san/hp/hp_3par_common.py
cinder,027b78a214e1f7ab7bbda342a024cb13dae8944d,1315195,Bug,1357682995,1399001411,541cc9d53ac999535edcb7a02d1a76a883cfb02b,cinder/tests/test_hp3par.py
cinder,029435c9288d82dee5dd1113c3553ddb5b97c740,1235358,Bug,1360782809,1382017937,6e287c0f2bb7d4994d50f1763f412277e4dac6f7,cinder/tests/test_rbd.py
cinder,029435c9288d82dee5dd1113c3553ddb5b97c740,1235358,Bug,1360782809,1382017937,6e287c0f2bb7d4994d50f1763f412277e4dac6f7,cinder/volume/drivers/rbd.py
cinder,033d21f6f0a93ab664d7615e2c71486c7fbce03a,1312718,Bug,1360228263,1398445178,38ed0523125efeaf8383b36d1db169b42e2f5eb6,cinder/volume/drivers/lvm.py
cinder,03a41f863b160384593ef8df130f369a0c22d393,1224030,Bug,1378266590,1378937223,f8ac42460dca22f83a59097530f73b282129cc2b,cinder/tests/test_glusterfs.py
